experiment,branches,n_branches,fusion,subset,RMSE,R2,Score,params,pred_range
A0-P8S4-FD001,P8S4,1,concat,FD001,15.896223263753535,0.8536716877458006,524.9887638708113,2205526,4-131
A1-P16S8-FD001,P16S8,1,concat,FD001,16.0609272097012,0.8506237049773153,469.92731035934315,1945430,4-131
A2-P32S16-FD001,P32S16,1,concat,FD001,15.68081119836577,0.8576106500231522,466.909528089689,1818454,2-128
A3-small+medium-FD001,P8S4+P16S8,2,concat,FD001,13.870747266882594,0.8885858956914177,294.6554316832688,2603099,4-128
A4-small+large-FD001,P8S4+P32S16,2,concat,FD001,14.160753585561197,0.8838783529972543,302.066888115631,2738267,4-126
A5-medium+large-FD001,P16S8+P32S16,2,concat,FD001,14.977243416260835,0.8701014712692171,390.3403666329144,2216027,3-128
A6-all3-FD001,P8S4+P16S8+P32S16,3,concat,FD001,14.579181637916566,0.8769145410682131,335.63044546997406,3135840,6-125
B0-concat-FD001,P8S4+P16S8+P32S16,3,concat,FD001,14.817767204853348,0.8728530371157065,355.678130318483,3135840,6-127
B1-weighted_sum-FD001,P8S4+P16S8+P32S16,3,weighted_sum,FD001,15.515779758405595,0.8605920090831787,427.05807397574387,3136355,4-128
B2-gated-FD001,P8S4+P16S8+P32S16,3,gated,FD001,15.364090140357973,0.8633045217536799,383.77537996489883,3530592,4-128
