model,subset,window,rmse,score,r2,params,status
PatchiTransformerRUL,FD001,30,19.83,1084.78,0.7723,1748561,
PatchiTransformerRUL,FD002,50,33.04,84737.72,0.6226,1945169,
PatchiTransformerRUL,FD003,30,17.36,562.44,0.8241,1748561,
PatchiTransformerRUL,FD004,50,26.24,5992.58,0.7684,1945169,
ConvPatchiTransformerRUL,FD001,30,18.3,704.32,0.8062,1748566,
ConvPatchiTransformerRUL,FD002,50,29.42,18687.75,0.7008,1945174,
ConvPatchiTransformerRUL,FD003,30,19.81,2431.33,0.771,1748566,
ConvPatchiTransformerRUL,FD004,50,25.57,5089.67,0.7801,1945174,
MSPatchiTransformerRUL,FD001,30,15.27,438.79,0.8649,3135840,
MSPatchiTransformerRUL,FD002,50,27.98,9344.34,0.7294,3791200,
MSPatchiTransformerRUL,FD003,30,16.41,683.7,0.8428,3135840,
MSPatchiTransformerRUL,FD004,50,28.61,15752.87,0.7246,3791200,
